"Source Name"	"Factor Value[year]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[location]"	"Term Source REF"	"Term Accession Number"
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Hypericum perforatum"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"14-1_2_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Hypericum perforatum"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"14-1_3_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Hypericum perforatum"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"14-1_3_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Hypericum perforatum"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"14-2_1_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Hypericum perforatum"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"14-2_1_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Hypericum perforatum"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"14-2_2_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Hypericum perforatum"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"14-2_2_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Hypericum perforatum"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"14-2_3_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Hypericum perforatum"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"14-2_3_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Hypericum perforatum"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"15-1_1_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Hypericum perforatum"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"15-1_1_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Viburnum opulus"	"NCBITAXON"	""	"bark"	"BTO"	""	"Sample collection"	"15-1_2_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Viburnum opulus"	"NCBITAXON"	""	"bark"	"BTO"	""	"Sample collection"	"15-1_2_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Viburnum opulus"	"NCBITAXON"	""	"bark"	"BTO"	""	"Sample collection"	"15-1_3_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Viburnum opulus"	"NCBITAXON"	""	"bark"	"BTO"	""	"Sample collection"	"15-1_3_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Viburnum opulus"	"NCBITAXON"	""	"bark"	"BTO"	""	"Sample collection"	"15-2_1_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Viburnum opulus"	"NCBITAXON"	""	"bark"	"BTO"	""	"Sample collection"	"15-2_1_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Viburnum opulus"	"NCBITAXON"	""	"bark"	"BTO"	""	"Sample collection"	"15-2_2_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Viburnum opulus"	"NCBITAXON"	""	"bark"	"BTO"	""	"Sample collection"	"15-2_2_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Viburnum opulus"	"NCBITAXON"	""	"bark"	"BTO"	""	"Sample collection"	"15-2_3_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Viburnum opulus"	"NCBITAXON"	""	"bark"	"BTO"	""	"Sample collection"	"15-2_3_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Coriandrum sativum"	"NCBITAXON"	""	"fruit"	"BTO"	""	"Sample collection"	"16-1_1_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Coriandrum sativum"	"NCBITAXON"	""	"fruit"	"BTO"	""	"Sample collection"	"16-1_1_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Coriandrum sativum"	"NCBITAXON"	""	"fruit"	"BTO"	""	"Sample collection"	"16-1_2_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Coriandrum sativum"	"NCBITAXON"	""	"fruit"	"BTO"	""	"Sample collection"	"16-1_2_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Coriandrum sativum"	"NCBITAXON"	""	"fruit"	"BTO"	""	"Sample collection"	"16-1_3_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Coriandrum sativum"	"NCBITAXON"	""	"fruit"	"BTO"	""	"Sample collection"	"16-1_3_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Coriandrum sativum"	"NCBITAXON"	""	"fruit"	"BTO"	""	"Sample collection"	"16-2_1_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Coriandrum sativum"	"NCBITAXON"	""	"fruit"	"BTO"	""	"Sample collection"	"16-2_1_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Coriandrum sativum"	"NCBITAXON"	""	"fruit"	"BTO"	""	"Sample collection"	"16-2_2_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Coriandrum sativum"	"NCBITAXON"	""	"fruit"	"BTO"	""	"Sample collection"	"16-2_2_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Coriandrum sativum"	"NCBITAXON"	""	"fruit"	"BTO"	""	"Sample collection"	"16-2_3_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Coriandrum sativum"	"NCBITAXON"	""	"fruit"	"BTO"	""	"Sample collection"	"16-2_3_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Coriandrum sativum"	"NCBITAXON"	""	"fruit"	"BTO"	""	"Sample collection"	"17-1_1_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Coriandrum sativum"	"NCBITAXON"	""	"fruit"	"BTO"	""	"Sample collection"	"17-1_1_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Urtica dioica"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"17-1_2_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Urtica dioica"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"17-1_2_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Urtica dioica"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"17-1_3_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Urtica dioica"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"17-1_3_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Urtica dioica"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"17-2_1_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Urtica dioica"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"17-2_1_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Urtica dioica"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"17-2_2_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Urtica dioica"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"17-2_2_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Urtica dioica"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"17-2_3_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Urtica dioica"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"17-2_3_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Valeriana officinalis"	"NCBITAXON"	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"18-1_1_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Valeriana officinalis"	"NCBITAXON"	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"18-1_1_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Valeriana officinalis"	"NCBITAXON"	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"18-1_2_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Valeriana officinalis"	"NCBITAXON"	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"18-1_2_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Valeriana officinalis"	"NCBITAXON"	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"18-1_3_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Valeriana officinalis"	"NCBITAXON"	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"18-1_3_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Valeriana officinalis"	"NCBITAXON"	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"18-2_1_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Valeriana officinalis"	"NCBITAXON"	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"18-2_1_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Valeriana officinalis"	"NCBITAXON"	""	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"18-2_2_Seg1Ev1"	"Altai Krai"	""	""
