,,,,"Raw abundance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Blank",,,,,,,,,,,,,,,,,,,,,,"Qc",,,,,,,,,,"Sample",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Compound","m/z","Charge","Retention time (min)","Blank_C1_10ul#1_Seg1Ev2","Blank_C1_10ul#2_Seg1Ev2","Blank_C1_10ul#3_Seg1Ev2","Blank_C1_10ul#4_Seg1Ev2","Blank_C1_10ul#5_Seg1Ev2","Blank_C1_10ul#6_Seg1Ev2","Blank_C1_10ul#7_Seg1Ev2","Blank_C1_10ul#8_Seg1Ev2","Blank_C1_10ul#9_Seg1Ev2","Blank_C1_10ul#10_Seg1Ev2","Blank_C1_10ul#11_Seg1Ev2","Blank_C1_10ul#12_Seg1Ev2","Blank_C1_10ul#13_Seg1Ev2","Blank_C1_10ul#14_Seg1Ev2","Blank_C1_10ul#15_Seg1Ev2","Blank_C1_10ul#16_Seg1Ev2","Blank_C1_10ul#17_Seg1Ev2","Blank_C1_10ul#18_Seg1Ev2","Blank_C1_10ul#19_Seg1Ev2","Blank_C1_10ul#20_Seg1Ev2","Blank_C1_10ul#21_Seg1Ev2","Blank_C1_10ul#22_Seg1Ev2","Flav_all_1k300_5ul#2_Seg1Ev2","Flav_all_1k300_5ul#3_Seg1Ev2","Flav_all_1k300_5ul#4_Seg1Ev2","Flav_all_1k300_5ul#5_Seg1Ev2","Flav_all_1k300_5ul#6_Seg1Ev2","Flav_all_1k300_5ul#7_Seg1Ev2","Flav_all_1k300_5ul#8_Seg1Ev2","Flav_all_1k300_5ul#9_Seg1Ev2","Flav_all_1k300_5ul#10_Seg1Ev2","Flav_all_1k300_5ul#11_Seg1Ev2","1_1k10_20ul#1_Seg1Ev2","1_1k10_20ul#2_Seg1Ev2","2_1k10_10ul#1_Seg1Ev2","2_1k10_10ul#2_Seg1Ev2","3_1k10_10ul#1_Seg1Ev2","3_1k10_10ul#2_Seg1Ev2","4_1k10_5ul#1_Seg1Ev2","4_1k10_10ul#1_Seg1Ev2","4_1k10_10ul#2_Seg1Ev2","4_1k50_5ul#1_Seg1Ev2","5_1k10_10ul#1_Seg1Ev2","5_1k10_10ul#2_Seg1Ev2","6_1k10_10ul#1_Seg1Ev2","6_1k10_10ul#2_Seg1Ev2","7_1k10_10ul#1_Seg1Ev2","7_1k10_10ul#2_Seg1Ev2","8_1k10_10ul#1_Seg1Ev2","8_1k10_10ul#2_Seg1Ev2","9_1k10_10ul#1_Seg1Ev2","9_1k10_10ul#2_Seg1Ev2","10_1k10_10ul#1_Seg1Ev2","10_1k10_10ul#2_Seg1Ev2","11_1k10_10ul#1_Seg1Ev2","11_1k10_10ul#2_Seg1Ev2","12_1k10_10ul#1_Seg1Ev2","12_1k10_10ul#2_Seg1Ev2","13_1k10_10ul#1_Seg1Ev2","13_1k10_10ul#2_Seg1Ev2","14_1k10_10ul#1_Seg1Ev2","14_1k10_10ul#2_Seg1Ev2","15_1k10_10ul#1_Seg1Ev2","15_1k10_10ul#2_Seg1Ev2","16_1k10_20ul#1_Seg1Ev2","16_1k10_20ul#2_Seg1Ev2","17_1k10_10ul#1_Seg1Ev2","17_1k10_20ul#1_Seg1Ev2","17_1k10_20ul#2_Seg1Ev2","17_1k50_10ul#1_Seg1Ev2","18_1k10_20ul#1_Seg1Ev2","18_1k10_20ul#2_Seg1Ev2","19_1k10_20ul#1_Seg1Ev2","19_1k10_20ul#2_Seg1Ev2","20_1k10_10ul#1_Seg1Ev2","20_1k10_10ul#2_Seg1Ev2","21_1k10_10ul#1_Seg1Ev2","21_1k10_10ul#2_Seg1Ev2","22_1k10_5ul#1_Seg1Ev2","22_1k10_10ul#1_Seg1Ev2","22_1k10_10ul#2_Seg1Ev2","22_1k50_5ul#1_Seg1Ev2","23_1k10_10ul#1_Seg1Ev2","23_1k10_10ul#2_Seg1Ev2","24_1k10_10ul#1_Seg1Ev2","24_1k10_10ul#2_Seg1Ev2","25_1k10_10ul#1_Seg1Ev2","25_1k10_10ul#2_Seg1Ev2","26_1k10_10ul#1_Seg1Ev2","26_1k10_10ul#2_Seg1Ev2","27_1k10_10ul#1_Seg1Ev2","27_1k10_10ul#2_Seg1Ev2","28_1k10_10ul#1_Seg1Ev2","28_1k10_10ul#2_Seg1Ev2","29_1k10_10ul#1_Seg1Ev2","29_1k10_10ul#2_Seg1Ev2","30_1k10_10ul#1_Seg1Ev2","30_1k10_10ul#2_Seg1Ev2","31_1k10_10ul#1_Seg1Ev2","31_1k10_10ul#2_Seg1Ev2","32_1k10_10ul#1_Seg1Ev2","32_1k10_10ul#2_Seg1Ev2","33_1k10_10ul#1_Seg1Ev2","33_1k10_10ul#2_Seg1Ev2","34_1k10_10ul#1_Seg1Ev2","34_1k10_10ul#2_Seg1Ev2","35_1k10_20ul#1_Seg1Ev2","35_1k10_20ul#2_Seg1Ev2","36_1k10_10ul#1_Seg1Ev2","36_1k10_10ul#2_Seg1Ev2"
"5.56_431.1134m/z","431.113435731694","1","5.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3681663.93968181","8701.86938476404","240690.719561025","4237.49752807602","4886196.59490939","5744609.46904259","13536.568103003","5474.17028808537","5471042.12462574","37014.5986175542","73471.8089977359","4478.22963099428","5000.09525526239","87527.0332110608","52930.5270990015","121472.212588246","34454.7800123654","261377.230824073","624.63400268562","20121.8328247065","40560.0381400021","37686.3799940976","10850.8410866903","1807.07037353521","6160.96974182113","2439.00017560774","6058.63595581069","63137.9443896937","210456.288519358","67035.3258045084","440.654159545887","819398.837742965","1925717.07154849","35460.8970640198","1219.27316284158","45789.826670947","111175.258427544","406258.956890488","452630.78120324","23601.6394152114","65011.5094637565","662174.457227619","1121360.41846964","64870.0828366565","143351.867864573","49720.3155766723","2680.29869845353","43294.6478580199","77309.7552598213","205218.988679772","232194.61459704","87284.15634901","247618.136747754","37052.6183393882","117047.308808433","138656.605681073","0","126831.343183285","5542.66586303699","164558.696014288","4976.5313262941","6658.50969760531","70332.3455368507","259663.857775409","244502.572972715","34438.1140079272","1736.48135477347","0","79216.2816037084","51847.2950988371","239319.024821523","133076.426568905","49886.482551655","413593.741725177","10175.7823493441","4277.10317993175","3902.6585693358","1983299.73717856","504104.100239276","0","58461.9251174508","28602.5674022915","1020.78158687875","77110.4278326784","63455.20244687","0","361924.053148801"
"4.11_345.1025m/z","345.102493415906","1","4.10666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84.8941184988371","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","677.389739990043","5710.6645812989","4062.93928824714","3439.31860796795","3166.1903686524","47429.1411698225","28046.9076995855","38288.144818289","297847.523437503","0","9831.00360606208","46663.2178049208","4780630.72556311","529966.783776917","3082.08361816412","10586.2742400362","193.33792156647","0","11172.9106750485","23476.0598602289","1640.9974975582","0","40642.1569824232","47487.2984425376","10887.963760376","50484.5144320391","17783.999997734","16575.0662841778","28436.6076175848","26562.3531803609","15218.8827514655","18199.4593353795","69040.7710175651","78833.5839474319","12016.2575378422","93975.4608399314","272369.384160834","0","65308.7108455075","8591.93411254918","114563.176169962","258350.811527856","245384.24385821","293060.310894426","6051.00056320267","5006.92881413614","63794.4867807283","6707.0377843062","93332.5596186042","178.960262417182","1085719.09444938","1305.59998408614","49322.7454081607","8083.65827942004","77419.0200874661","93536.2372029781","0","0","1915.36849975609","0","0","422683.681127473","710119.978925697","290452.213555842","14196.2021834695","7463.39721679629","369.334259033203","43260.9799804712","139671.061126708","97075.5588989283","149811.481233611","65350.7505645715","17423.242736817","0","13662.9102172854","43723.1868591316","13672.4009068933","38458.8322670076"
"3.92_380.1533m/z","380.153327061412","1","3.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1529.32268570886","0","0","0","0","0","0","0","0","0","434.465667724591","0","762.652038574265","4634.5810546878","816.927032470702","20032.7351767465","125657.442626956","82314.2130247926","0","2913.46179199211","18436.8073883057","321299.605775708","710601.250737337","1559.8044433596","5720.66482543942","6728.09078979541","46082.2391357448","56539.7625427275","391600.949322008","392952.594226945","29489.6551714962","2226.66494751004","0","0","47836.5020446763","334634.37628305","257651.216549495","301965.48765858","291156.795089712","313224.976409908","10233.3253173828","9736.14602661031","98190.1768407935","0","9693.01361083968","67586.5063247679","62102.8938399162","313.375610351563","60783.5274334352","50596.8812428775","167607.91730448","243508.956520183","447844.709318549","465772.995017291","63715.7711181643","74156.0597991945","8612.2568511966","0","662856.472855058","0","13046.3208737162","49474.7411193843","39481.926419904","53096.5567291599","85339.3472442595","72545.566680907","0","56354.0605355695","0","1978.44677734414","233761.189880366","513424.299744679","941.658508300769","269153.934460863","102120.996837176","75513.3562011706","53890.4114572193","0","21830.3805193488","26030.4823938608","26929.3476257331","4083.91594374164","42523.1509857216","47914.5989435538","23185.1018371593","0","320917.753490967","0"
"5.84_403.1484m/z","403.148423052364","1","5.84","0","0","0","0","7.891950303754","0","9.74369795294065","17.3125490469021","29.2217053818785","62.5330036536821","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.2392364082159","0","3178.16806030288","7101.78405761726","7444.06513961816","20385.5144805896","185479.265298777","229409.866410569","22168.3480261342","6463.79232791522","15872.8856048583","0","22433.2738647464","2690.48876953142","3798.98092233183","25669.2037963867","0","2119.03952026392","0","0","15308.8595383725","91243.0559400754","19053.083648681","13514.4251098625","133333.057133329","165190.440682034","2150.85848999016","527.135848999074","34052.4107360832","45317.485658476","26801.6876789122","30506.4103129391","31881.0508180081","10411.4640879955","95449.2206821392","96932.5192565886","37683.5504455565","70799.818588256","40555.5205046734","8370.56924438416","155045.814371752","24362.6676788328","105331.097616425","219073.220604003","29619.9190265083","35861.2746790642","4548.00208340704","27195.6679177016","11699.7887696895","0","32029.3153867802","0","40389.0759730617","71189.6902618396","1005.95486450205","13800.6496385139","10446.6690673824","29764.9556121825","2468.88903808577","26497.7274130119","5961.49414062508","7245.0083618165","95058.1217498798","45923.4482331271","20918.2573165899","181405.61846885","7734.80194091775","0","0","42381.0400390608","21561.9043444181","23084.9931161144","886.547972935331","8139.65173339843","728.09741210933","1833.6151123051","87196.2546961977","77433.0960692418","0","7145.02716064474"
"5.00_371.1072m/z","371.107246493846","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120.948120805082","0","0","0","0","0","0","0","0","0","154170.263122559","24098.0907897948","0","1704.98425250154","5134.39856066742","44732.1316902936","46739.9907853915","93818.161213651","79678.6329202212","1011.63053811614","4165.88079833954","169763.380889886","91333.2502717208","0","40554.5939192523","2045.94397735574","2801.75187596512","17965.2827758778","340822.492707892","251269.309396352","559.434570312478","3687.58543887653","0","0","76567.0376167126","130564.716529229","39754.4766092698","52511.2954101565","44931.4494018539","20221.6647350575","122060.104022619","44991.1374365918","214016.334109665","5154274.18902858","408695.026798134","643561.087876152","50766.186715269","1008.38821411139","472345.745596264","318547.888309082","75567.4195300264","90900.1731057158","1570986.27130784","914822.380997901","737052.685735895","26768.0086059582","7784.41782804579","21173.3868589568","245266.932406532","0","691485.566154769","0","9717.96948242168","16807.7813415524","46298.2789216842","67161.5384129944","5375.8815917965","25408.0736999506","0","2004.43273925757","325144.667999738","26908.6447793624","294697.733801664","135275.889232824","10007.5757243558","12493.0873107911","0","15895.0353393547","0","0","8011.17581176749","36633.6160317396","2379.45495605483","0","799122.105615661","769169.786427943","61438.2765064656","28016.7660648423"
"1.44_357.0598m/z","357.059761963261","1","1.44","0","0","0","0","0","0","0","0","0","0","0","0","1566.02838506739","0","0","0","0","0","0","0","0","0","22.0075473959088","0","0","0","0","0","0","0","0","0","0","0","285302.039915491","329881.776244126","91829.4225852715","206486.849865709","223009.586031175","30798.4076538074","31504.4414579582","13182.8792321946","340750.565789992","595293.752970392","446116.244780571","0","466859.34823607","417223.487863414","157444.552429198","149877.954925543","851270.145225738","901066.446704641","578228.950195305","0","67568.2205639669","47495.9861529261","1327712.73525908","1404386.32547181","173489.26320312","171042.519117114","842680.855291166","811642.133112594","0","459926.742858884","514031.320864784","205284.276710908","366770.963404984","474343.753556896","2661.50756835953","172476.54848078","263119.474369291","0","506256.47003193","458851.10042129","176846.896920034","112545.20626773","4315.78320312533","199141.899230943","82290.2422525178","162051.098942397","325875.641204024","16606.6351578722","96544.0264632378","0","0","432261.223323925","108505.720143656","128154.84512643","508921.656315681","231754.455291753","221487.730892388","256731.789769694","0","6651.87845568552","111270.4629696","163322.862709227","782276.820830941","674005.529379628","404932.506522328","7462.58461998059","20396.3425128376","61638.1559294934","0","87428.4538066047","8447.614822868","432215.066810698","68374.683558849","118775.834439679","0","185855.92018582"
"8.64_309.2040m/z","309.204002774162","1","8.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2147.65731527973","0","0","0","0","0","0","216298.722453487","487.080505371094","7521.68609619088","533.144851684568","13156.5386352548","22038.3538576163","12777.6950378419","631041.775645066","20579.2603243642","0","0","0","7528.71588134726","3285.25631938804","0","21008.7624437214","375.994064331086","638.111022949277","69604.2426038131","72545.2785163494","195180.340203726","10695.1357818473","12293.7316589357","0","27070.4350966496","41383.6052422548","6304.24719238317","4329.94558715831","37160.526953298","0","4022.32909147042","183481.584599445","158288.815329855","1338.68124389649","72615.4536784426","173366.167110729","35192.0159318693","4494.99829101542","448731.802093917","2890.19703867575","395140.879370759","968752.75600082","70711.3758901948","52584.0384216242","30431.250550705","33969.8123019009","12094.4241943362","0","43508.9969635021","0","0","10641.2463238409","68936.9498515633","63385.6430817305","40715.9906005862","46346.9725494388","12460.775970459","5325.40472412113","2849.1280517579","2553.62608337379","8535.74280243259","608514.536580181","2643.79382735601","5815.22871840828","53233.56748666","44660.6710514689","2845.82301339993","0","0","1631.76760864291","3954.50004179912","73620.3476256094","770.324798584262","52171.2930783455","11514.0196954763","6609.14620445068","138853.891523042","0"
"14.31_468.1742m/z","468.174154528863","1","14.3066666666667","978.735717773202","688.527385178928","0","7624.69365523611","4178.7598876958","10668.2750249304","0","816.031280517678","7270.60636466289","6990.53862544485","3714.10400390645","4516.05239868188","5124.73764038081","5185.13282709206","8839.35917246508","16430.2893992737","1159.79895019541","3887.29962158215","5887.18295393482","6559.62497155333","11985.161743164","5599.26961806366","0","10258.4356365226","7051.00457763738","7327.75222863886","5242.50793457027","7774.06335020453","483.4814300537","10976.5086364741","3773.15026855451","15593.0587363594","0","0","0","954.743713379009","0","0","0","0","0","1187.22528076157","1427.98477777626","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1287.0039672852","0","0","0","0","0","0","0","0","0","0","845.432250976407","0","0","0","0","0","0","0","0","3841.42969152562","0","1418.15179971175","9118.79504394459","0","0","0","0","0","0","0","686.898010254037","0","0","2006.50942993178","0","0","0","0","0","0","705.231323242248","6810.62486992066","4464.21959751732","0","0","1243.3745117185","0","0","0","0","0"
