,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Blank,,,,,,,,,,,,,,,,,,,,,,Qc_standards,,,,,,,,,,,Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,m/z,Charge,Retention time (min),Blank_C1_10ul#1_Seg1Ev1,Blank_C1_10ul#2_Seg1Ev1,Blank_C1_10ul#3_Seg1Ev1,Blank_C1_10ul#4_Seg1Ev1,Blank_C1_10ul#5_Seg1Ev1,Blank_C1_10ul#6_Seg1Ev1,Blank_C1_10ul#7_Seg1Ev1,Blank_C1_10ul#8_Seg1Ev1,Blank_C1_10ul#9_Seg1Ev1,Blank_C1_10ul#10_Seg1Ev1,Blank_C1_10ul#11_Seg1Ev1,Blank_C1_10ul#12_Seg1Ev1,Blank_C1_10ul#13_Seg1Ev1,Blank_C1_10ul#14_Seg1Ev1,Blank_C1_10ul#15_Seg1Ev1,Blank_C1_10ul#16_Seg1Ev1,Blank_C1_10ul#17_Seg1Ev1,Blank_C1_10ul#18_Seg1Ev1,Blank_C1_10ul#19_Seg1Ev1,Blank_C1_10ul#20_Seg1Ev1,Blank_C1_10ul#21_Seg1Ev1,Blank_C1_10ul#22_Seg1Ev1,Flav_all_1k300_5ul#1_Seg1Ev1,Flav_all_1k300_5ul#2_Seg1Ev1,Flav_all_1k300_5ul#3_Seg1Ev1,Flav_all_1k300_5ul#4_Seg1Ev1,Flav_all_1k300_5ul#5_Seg1Ev1,Flav_all_1k300_5ul#6_Seg1Ev1,Flav_all_1k300_5ul#7_Seg1Ev1,Flav_all_1k300_5ul#8_Seg1Ev1,Flav_all_1k300_5ul#9_Seg1Ev1,Flav_all_1k300_5ul#10_Seg1Ev1,Flav_all_1k300_5ul#11_Seg1Ev1,1_1k10_20ul#1_Seg1Ev1,1_1k10_20ul#2_Seg1Ev1,2_1k10_10ul#1_Seg1Ev1,2_1k10_10ul#2_Seg1Ev1,3_1k10_10ul#1_Seg1Ev1,3_1k10_10ul#2_Seg1Ev1,4_1k10_5ul#1_Seg1Ev1,4_1k10_10ul#1_Seg1Ev1,4_1k10_10ul#2_Seg1Ev1,4_1k50_5ul#1_Seg1Ev1,5_1k10_10ul#1_Seg1Ev1,5_1k10_10ul#2_Seg1Ev1,6_1k10_10ul#1_Seg1Ev1,6_1k10_10ul#2_Seg1Ev1,7_1k10_10ul#1_Seg1Ev1,7_1k10_10ul#2_Seg1Ev1,8_1k10_10ul#1_Seg1Ev1,8_1k10_10ul#2_Seg1Ev1,9_1k10_10ul#1_Seg1Ev1,9_1k10_10ul#2_Seg1Ev1,10_1k10_10ul#1_Seg1Ev1,10_1k10_10ul#2_Seg1Ev1,11_1k10_10ul#1_Seg1Ev1,11_1k10_10ul#2_Seg1Ev1,12_1k10_10ul#1_Seg1Ev1,12_1k10_10ul#2_Seg1Ev1,13_1k10_10ul#1_Seg1Ev1,13_1k10_10ul#2_Seg1Ev1,14_1k10_10ul#1_Seg1Ev1,14_1k10_10ul#2_Seg1Ev1,15_1k10_10ul#1_Seg1Ev1,15_1k10_10ul#2_Seg1Ev1,16_1k10_20ul#1_Seg1Ev1,16_1k10_20ul#2_Seg1Ev1,17_1k10_10ul#1_Seg1Ev1,17_1k10_20ul#1_Seg1Ev1,17_1k10_20ul#2_Seg1Ev1,17_1k50_10ul#1_Seg1Ev1,18_1k10_20ul#1_Seg1Ev1,18_1k10_20ul#2_Seg1Ev1,19_1k10_20ul#1_Seg1Ev1,19_1k10_20ul#2_Seg1Ev1,20_1k10_10ul#1_Seg1Ev1,20_1k10_10ul#2_Seg1Ev1,21_1k10_10ul#1_Seg1Ev1,21_1k10_10ul#2_Seg1Ev1,22_1k10_5ul#1_Seg1Ev1,22_1k10_10ul#1_Seg1Ev1,22_1k10_10ul#2_Seg1Ev1,22_1k50_5ul#1_Seg1Ev1,23_1k10_10ul#1_Seg1Ev1,23_1k10_10ul#2_Seg1Ev1,24_1k10_10ul#1_Seg1Ev1,24_1k10_10ul#2_Seg1Ev1,25_1k10_10ul#1_Seg1Ev1,25_1k10_10ul#2_Seg1Ev1,26_1k10_10ul#1_Seg1Ev1,26_1k10_10ul#2_Seg1Ev1,27_1k10_10ul#1_Seg1Ev1,27_1k10_10ul#2_Seg1Ev1,28_1k10_10ul#1_Seg1Ev1,28_1k10_10ul#2_Seg1Ev1,29_1k10_10ul#1_Seg1Ev1,29_1k10_10ul#2_Seg1Ev1,30_1k10_10ul#1_Seg1Ev1,30_1k10_10ul#2_Seg1Ev1,31_1k10_10ul#1_Seg1Ev1,31_1k10_10ul#2_Seg1Ev1,32_1k10_10ul#1_Seg1Ev1,32_1k10_10ul#2_Seg1Ev1,33_1k10_10ul#1_Seg1Ev1,33_1k10_10ul#2_Seg1Ev1,34_1k10_10ul#1_Seg1Ev1,34_1k10_10ul#2_Seg1Ev1,35_1k10_20ul#1_Seg1Ev1,35_1k10_20ul#2_Seg1Ev1,36_1k10_10ul#1_Seg1Ev1,36_1k10_10ul#2_Seg1Ev1
7.45_423.2259m/z,423.2258566,1,7.453333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11187.67621,0,0,0,25223.46461,24652.77454,10025.37338,10486.05548,5991.027588,10506.8922,12535.6049,3884.731903,51187.42163,607.6525574,8280.590027,12626.92719,279896.6225,307954.2939,506.8587036,408.1530914,0,0,29386.23326,2396.571381,1618.361908,3828.596573,50941.8894,58198.18439,32928.89731,30699.4524,1126.301575,2519.691864,4904.269732,5046.628671,11575.31039,13962.76566,28891.82205,10786.80418,27531.53141,48941.81235,44142.11044,10212.73703,36607.74089,34390.2354,34283.84845,30852.01018,2360.115814,3433.472107,98218.5592,95563.12967,0,1614.204056,1132.325195,0,47323.54621,30000.65942,4454.96991,4031.123901,26747.14247,25471.13401,1964.432709,0,1402.548615,3454.891914,7918.1586,24060.61868,29014.09441,23632.01028,0,1286.539368,96670.38123,86650.98306,33044.66525,29607.31961,5173.128967,2404.35498,1031.289246,2083.875458,31990.10418,10552.39661,102534.6798,85516.45273
10.85_263.2256m/z,263.2256402,1,10.85333333,0,0,0,0,0,0,967.7059021,1982.795517,0,0,0,0,0,0,0,0,2469.848373,0,0,0,0,432.7873535,0,0,0,639.863739,0,0,0,0,0,581.1470337,0,18956.368,25255.13293,3676.24472,8110.45176,9108.162689,26797.60284,13018.61787,10691.52142,23597.81998,5495.615464,73598.27357,73934.8298,25457.48958,34880.39001,12278.41198,0,117016.5365,123459.4154,427.4407654,6437.751404,27214.39024,33485.73104,5513.236176,7399.623613,85868.58964,95665.46719,33922.3502,28066.61923,0,241.8142954,21359.05818,25067.22149,75096.5543,0,13036.70177,40747.48901,49389.78401,0,13109.81153,19837.6052,45366.31444,44659.62349,10310.3248,5826.253754,18815.53472,4828.036026,7402.952521,14393.36939,7300.20531,0,11620.20724,13875.55641,13445.40206,13639.29205,9243.954039,10727.83837,14669.33923,16000.69877,1200.30069,1861.166962,19699.93402,22056.45417,21740.75525,22471.95332,46202.90238,50729.93518,51302.88573,50131.0528,0,0,9160.76539,2854.768477,12524.5807,15364.8358,18301.49603,13206.05328,2058.822037,850.2149963
1.51_332.1277m/z,332.1276503,1,1.506666667,0,0,4434.52324,0,0,0,0,2376.406682,0,0,0,18.33604162,0,0,0,0,580.165407,0,0,0,0,0,0,0,0,0,0,0,0,4.859554942,0,0,0,72328.23939,65404.19216,61401.20212,64385.57497,206426.8037,236551.0425,794682.5238,0,805331.2955,0,53976.37291,167188.1684,404602.3334,392733.5334,43976.80976,42851.63542,318773.05,300407.5443,267546.2531,0,22925.60987,25542.95712,59649.06945,66700.12828,30966.61833,38072.4133,117290.226,121417.4001,5301.300556,5318.456099,61137.18408,69084.87325,20722.74984,0,124648.5484,86308.84659,80352.2198,64.1568389,43671.7771,49097.95518,44206.10513,38428.9931,16437.67171,23479.7014,2240.635803,4735.182707,18571.45696,22122.35685,23241.61821,6865.458206,44184.94166,40705.20542,315.2229614,1376.261819,39298.55226,37566.51277,26375.81565,26299.14514,97111.04913,89257.25234,189179.6529,68951.5441,126900.4969,128530.3614,47934.28669,59561.87919,86484.07248,88723.85501,21656.58455,20562.31448,54087.77479,50850.39179,65154.2538,61160.37123,160398.8382,327159.6557,31215.36961,37729.12655
13.16_395.3622m/z,395.3622398,1,13.16,0,0,0,0,0,0,0,0,0,0,0,0,0,355.9255244,0,0,0,657.8153687,914.5859564,0,3243.34821,0,0,0,0,0,0,0,0,0,0,0,0,44418.2185,48997.04359,55012.92194,63310.6512,156320.6586,186708.4276,24174.19463,0,3571.195526,5316.565079,54173.85543,58950.10017,127179.1513,137112.8405,587.0736389,1818.498096,35873.13492,28672.66963,6028.625589,39038.98138,11117.48028,13612.6174,50197.17147,60706.80423,17358.8833,17735.69803,100835.8407,85026.36612,6785.031128,6518.225311,16362.57689,24796.60367,5922.008057,2083.720581,5885.782562,0,958.2049713,0,28968.48295,30190.04267,1377.82486,3184.812622,174512.0592,179874.7299,64115.5858,76216.60776,30419.7439,37534.3639,13162.53708,4535.58699,50944.44303,55530.18225,169978.2903,193805.5851,8119.428786,12559.07146,11557.67489,9817.061417,700.0768433,975.3305969,9999.409034,6089.858043,4259.168213,6722.83606,39174.62345,41863.03033,26617.1933,26547.26845,2200.088165,0,67225.43052,31753.50486,24451.95055,22070.83983,64997.01049,63970.99078,118357.3191,121377.6807
1.47_231.0914m/z,231.0914007,1,1.466666667,0,0,2367.262947,0,0,0,0,11530.50645,397.5880737,382.297287,401.941452,0,0,0,0,0,13460.4566,0,0,0,0,18006.10724,0,0,0,0,189.4465408,0,563.1435547,0,0,0,0,1417.982147,3468.504242,35459.04666,39416.88351,37372.34335,56690.61178,52070.3911,0,40763.14791,30591.57038,236291.2268,323076.3342,13796.51263,30830.75897,943.4277344,8307.749649,3383.102287,2706.131454,7774.845703,4204.902122,69867.62907,98453.69823,112685.7194,146959.6298,68491.40982,105895.243,11042.93582,30664.89473,10111.50613,21809.95909,7394.2668,10401.13695,20774.64469,4443.962532,8212.111282,9584.403708,10050.92666,5655.750885,40999.76863,84711.02754,44004.6963,50542.72567,26458.77319,40443.35388,13373.90306,2511.981537,16271.467,14710.59477,24545.89249,14840.56673,44168.31287,57908.35033,24723.90016,21608.17123,11336.0374,18084.2412,339208.3663,313069.8543,284770.6066,490944.834,15181.54726,5347.859116,50529.89242,49326.17246,8222.319966,8291.271226,1642.603485,2270.107605,39793.33605,49114.39767,60223.15805,36362.5829,9470.416559,9742.615279,905207.6162,667265.9716,20069.61668,21748.05122
10.33_433.2434m/z,433.2434255,1,10.33333333,0,0,0,0,0,0,483.4426575,0,0,0,0,0,0,0,0,0,1381.515656,0,0,0,0,0,0,582.8865051,0,0,0,0,0,759.4836731,0,0,0,112216.4919,147617.5741,17112.08546,21845.56561,3895.86631,14765.2256,66355.57383,121629.4836,110326.4376,6021.605774,8565.668442,14401.04953,50659.74979,63193.2005,8156.912064,27295.9739,179142.3363,170510.3449,113550.6384,33092.82746,138496.8529,215625.5881,51253.06958,57794.47371,103049.4933,106167.9281,7495.080566,17745.85413,96692.45197,94410.89053,267139.0276,260426.9841,168496.151,27744.76265,28885.64145,62039.70268,71388.65242,0,44465.89655,41513.10522,121376.8648,122725.0154,3270.442131,5267.242783,494526.0846,326928.9544,1512.971771,3254.36142,1799.870728,0,10483.8447,9104.197533,3831.743835,3028.116241,22112.18769,13616.12003,945.0299683,1599.568665,1456.329926,1898.592896,135857.4881,167243.4432,603821.8411,566444.5635,80798.71451,90270.41301,64863.39332,67097.9191,1009.733566,821.5421371,16068.03333,13903.52165,17366.48482,16075.32285,21469.38699,18628.19446,16287.90013,21022.67767
16.36_429.3690m/z,429.3689583,1,16.36,3981.862233,6934.104263,6034.639804,5255.401695,6151.858638,8166.230032,9748.275131,8772.463531,11502.0979,4582.448891,3664.865972,11475.95356,5864.289206,5588.87527,5216.081174,5993.405103,9227.344284,10664.69555,5645.705178,6045.449506,10034.6407,3694.959442,0,18054.36598,7802.229457,8432.485713,5324.300644,7440.145798,10233.81462,5813.183509,4329.269577,4483.186403,9773.209351,184156.5232,108334.6274,42459.71774,30236.52804,215714.4254,129205.1274,586914.9617,30737.56307,20060.529,339674.7247,868456.4755,1194133.527,900379.8317,1051485.643,590730.9868,6445.583095,386454.1814,371780.7671,172272.0354,251103.432,973633.477,1094642.764,330118.7534,360892.2793,1037595.205,1248752.161,41006.90758,31618.02835,304562.1084,319889.7507,427002.6883,438412.3665,657165.5922,1036841.856,354824.6725,369538.9488,523035.5795,115778.7613,402144.798,354639.0493,726079.3847,968207.4556,194137.7785,205711.3815,147410.3439,172311.2458,744807.7994,739584.6781,430471.2103,454136.9638,190578.4602,150300.8505,296468.6849,253022.6475,399340.7002,529132.1994,1442697.296,1508400.842,14488.35837,9899.922638,240453.2464,245413.9811,57536.95315,81791.81602,322171.0181,176791.1762,85812.74977,110816.8551,38380.50605,39070.08598,381054.8352,165022.3931,371704.6998,359186.233,245778.9263,259269.0949,35854.07165,36355.88853
4.45_291.0896m/z,291.0895608,1,4.453333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11363.05841,20749.97382,25944.50261,35159.80354,73857.27789,96967.45518,7953.798603,5028.641754,8918.782166,0,15709.02844,20735.61971,30724.54858,37410.85998,26309.64039,17962.43609,0,0,9758.757174,1285.989594,115651.7499,147869.4339,2858798.429,3110169.43,34285.9619,39319.64328,29071.50807,27349.16074,55926.11906,55179.84226,132545.0014,164996.516,26242.1024,98229.59557,23084.27214,71066.51977,71663.80196,0,72004.65045,67663.10708,77869.68558,79613.88265,28482.9267,38750.4835,1397.056488,16800.18887,7813.560404,26838.2355,41241.10503,0,26419.00459,23721.09611,1876.056778,3323.338242,17721.08324,28665.81424,20001.73215,18890.08533,0,614.7799377,15623.31521,30826.89087,187944.003,194055.6923,54791.29265,48945.12576,0,218.5435333,4208481.22,4166032.206,39348.60605,44640.89207,46522.31501,48715.21759,842757.878,870988.5962,112403.9592,116909.9756
